"Country Code","Country Name","Gender","Date","Unemployement Rate","percent_change"
"ISL","Iceland","Men",2003-09-01,0.038,0
"ISL","Iceland","Men",2003-10-01,0.037,-0.0263157894736841
"ISL","Iceland","Men",2003-11-01,0.037,0
"ISL","Iceland","Men",2003-12-01,0.038,0.0270270270270269
"ISL","Iceland","Men",2004-01-01,0.037,-0.0263157894736841
"ISL","Iceland","Men",2004-02-01,0.037,0
"ISL","Iceland","Men",2004-03-01,0.037,0
"ISL","Iceland","Men",2004-04-01,0.037,0
"ISL","Iceland","Men",2004-05-01,0.037,0
"ISL","Iceland","Men",2004-06-01,0.036,-0.027027027027027
"ISL","Iceland","Men",2004-07-01,0.035,-0.0277777777777778
"ISL","Iceland","Men",2004-08-01,0.034,-0.0285714285714286
"ISL","Iceland","Men",2004-09-01,0.033,-0.0294117647058824
"ISL","Iceland","Men",2004-10-01,0.032,-0.0303030303030303
"ISL","Iceland","Men",2004-11-01,0.031,-0.03125
"ISL","Iceland","Men",2004-12-01,0.031,0
"ISL","Iceland","Men",2005-01-01,0.031,0
"ISL","Iceland","Men",2005-02-01,0.031,0
"ISL","Iceland","Men",2005-03-01,0.03,-0.0322580645161291
"ISL","Iceland","Men",2005-04-01,0.03,0
"ISL","Iceland","Men",2005-05-01,0.03,0
"ISL","Iceland","Men",2005-06-01,0.03,0
"ISL","Iceland","Men",2005-07-01,0.03,0
"ISL","Iceland","Men",2005-08-01,0.03,0
